Epoch,Training Loss, Validation Loss,Precision,Recall,F1
1,0.676400,0.661043,0.574803,0.986486,0.726368
2,0.627500,0.588791,0.700000,0.851351,0.768293
3,0.530100,0.506158,0.769231,0.810811,0.789474
4,0.467500,0.435896,0.845070,0.810811,0.827586
5,0.378900,0.380217,0.873239,0.837838,0.855172
6,0.325900,0.354866,0.819277,0.918919,0.866242
7,0.291000,0.320504,0.890411,0.878378,0.884354
8,0.240000,0.299045,0.902778,0.878378,0.890411
9,0.241200,0.294596,0.851852,0.932432,0.890323
10,0.175900,0.279984,0.904110,0.891892,0.897959
11,0.192700,0.274274,0.881579,0.905405,0.893333
12,0.180500,0.272545,0.881579,0.905405,0.893333
