labels,lyrics
Not_bob,"Ayy, ayy, ayy I got a condo in Manhattan Baby girl, what's happenin'? You and your ass invited "
Not_bob,"So pop it for a player Pop, pop it for me Turn around and drop it for a player Drop, drop it for me "
Not_bob,"Wake up with no jammies (Nope) Lobster tail for dinner Julio, serve that scampi (Julio!) "
Not_bob,"Got, got it if you want it Said, you got it if you want it Take my wallet if you want it now "
Not_bob,"Anything you want, just to put a smile on it You deserve it, baby, you deserve it all "
Not_bob,Gold jewelry shinin' so bright Strawberry champagne on ice 
Not_bob,"Lucky for you, that's what I like, that's what I like Sex by the fire at night "
Not_bob,"Lucky for you, that's what I like, that's what I like "
Not_bob,I'm talkin' trips to Puerto Rico (Bih) Say the word and we go (Say it) You can be my freaka (Brrrt!) 
Not_bob,I'll never make a promise that I can't keep I promise that your smile ain't gon' ever leave 
Not_bob,"Everything 24 karats Take a look in that mirror Now tell me, who's the fairest? "
Not_bob,"Say it's us (Say it's us) and I'll agree, baby "
Not_bob,"Anything you want, just to put a smile on it You deserve it, baby, you deserve it all "
Not_bob,Gold jewelry shinin' so bright Strawberry champagne on ice 
Not_bob,"Lucky for you, that's what I like, that's what I like Sex by the fire at night "
Not_bob,"Lucky for you, that's what I like, that's what I like "
Not_bob,"You say you want a good time Well, here I am, baby, here I am, baby "
Not_bob,"Tell me, what's on your mind? (What's on your mind?) If you want it, girl, come and get it "
Not_bob,"Tell me, baby, tell me, tell me, baby What you tryna do? Gold jewelry shinin' so bright "
Not_bob,"Lucky for you, that's what I like, that's what I like (That's what I like, babe) "
Not_bob,Sex by the fire at night Silk sheets and diamonds all white (All white) 
Not_bob,"Lucky for you, that's what I like, that's what I like (Ooh, ooh, ooh)97 "
Not_bob,"Diamonds up and down my chain (Aha) Cardi B, straight stuntin', can't tell me nothin' "
Not_bob,"It's my big Bronx boogie, got all them girls shook (Shook) "
Not_bob,"Went from dollar bills, now we poppin' rubber bands (Ha) "
Not_bob,"Ayy, flexin' on the 'Gram like Ayy, hit the Lil Jon Okay (Okay), okay (Okay) "
Not_bob,"Ooh, don't we look good together? "
Not_bob,"Yeah, I know we'll turn heads forever So tonight, I'm gonna show you off "
Not_bob,I watch the whole room change (I watch the whole room change) 
